GEOID,NAMELSAD20,COUNTYFP20,POP20,WHITE,BLACK,ASIAN,AIAN,NHPI,OTHER,TWOPLUS,HISP,nearest_poll_miles,nearest_hospital_distance_miles,Access_Level
01101005611,Census Tract,101,3644,1957,943,514,18,4,39,169,124,2.309708974439703,4.101444992253722,Moderate
01101005608,Census Tract,101,1633,1071,333,151,9,3,17,49,37,2.438720897214836,3.5793034356546314,Moderate
01101005503,Census Tract,101,6176,3747,1669,453,21,0,50,236,171,0.12797718074888234,1.6930232804917549,Very Close
01101005501,Census Tract,101,3426,1356,1861,68,2,1,45,93,107,3.1805986555243595,4.106651129073276,Limited
01101005504,Census Tract,101,1829,1562,181,19,1,0,8,58,51,2.9688482667448075,6.686155636159234,Moderate
01101005502,Census Tract,101,3195,1091,1669,235,2,1,33,164,96,1.911500506869375,4.769543261499579,Moderate
01101005612,Census Tract,101,2131,768,882,304,0,0,47,130,79,2.752277996719335,3.570456591879164,Moderate
01101005610,Census Tract,101,1400,330,746,11,13,3,223,74,316,1.0598893539043936,3.924860446524523,Moderate
01101002201,Census Tract,101,3754,83,3511,0,6,0,87,67,111,0.49873138983528154,1.7547052313077187,Very Close
01101002202,Census Tract,101,884,6,859,0,0,0,3,16,6,0.3651230175335944,1.4486966460194775,Very Close
01101002300,Census Tract,101,2501,7,2418,3,8,1,17,47,25,0.44721164708815614,2.5779593381917953,Very Close
01101002400,Census Tract,101,1758,33,1647,23,0,0,20,35,34,0.47459176996359553,2.5103124100562626,Very Close
01101002500,Census Tract,101,2315,386,1502,80,16,4,228,99,261,0.5619052255447979,3.141450318569045,Very Close
01101002600,Census Tract,101,5458,3678,1301,80,25,0,73,301,192,0.4672086588247946,1.1158223699130967,Very Close
01101002700,Census Tract,101,4349,2753,1348,50,3,0,51,144,105,0.7437316138324888,0.943215197635506,Very Close
01101003000,Census Tract,101,1904,299,1442,4,4,0,83,72,101,0.3093218623673921,1.8870948319833176,Very Close
01101003100,Census Tract,101,3436,155,3202,3,4,0,12,60,30,0.77661649197761,0.5089294741401431,Very Close
01101003200,Census Tract,101,5741,354,5134,30,4,0,84,135,98,0.6390064742574239,1.2439719482732141,Very Close
01101003301,Census Tract,101,3470,1840,1402,59,4,0,47,118,91,0.8809328148408112,1.731075976977014,Very Close
01101005301,Census Tract,101,1154,695,188,63,2,9,44,153,146,1.4010974395978302,2.056924889043854,Moderate
