STATEFP20,COUNTYFP20,TRACTCE20,GEOID,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Rowid_,SUMLEV,GEOCODE,GEOID,NAME,BASENAME,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,POP20,ONERACE,WHITE,BLACK,AIAN,ASIAN,NHPI,OTHER,TWOPLUS,HISP,UNITS,OCCP,VACANT,OBJECTID,Shape__Are,Shape__Len,centroid,nearest_poll_name,nearest_poll_address,nearest_poll_city,nearest_poll_m,nearest_hospital_distance_miles,nearest_poll_miles
01,101,005611,01101005611,56.11,Census Tract,G5020,S,8438518,50415,+32.3149101,-086.1816363,1155,140,01101005611,01101005611,Census Tract 56.11,56.11,PLST,AL,000,01,1592,3644,3475,1957,943,18,514,4,39,169,124,1677,1591,86,155,91396528.5839844,47243.3721069198,POINT (918445.3454817091 1074431.5785653773),Aldersgate Methodist Church,6610 Vaughn Rd.,Montgomery,3717.107040924791,4.101444992253722,2.309708974439703
01,101,005608,01101005608,56.08,Census Tract,G5020,S,28935286,209102,+32.2963697,-086.1355312,1152,140,01101005608,01101005608,Census Tract 56.08,56.08,PLST,AL,000,01,1589,1633,1584,1071,333,9,151,3,17,49,37,564,545,19,156,313794449.46228,95581.2513411315,POINT (923549.7566551288 1073952.5146367538),St. James United Methodist Church,9045 Vaughn Rd.,Montgomery,3924.7310887237245,3.5793034356546314,2.438720897214836
01,101,005503,01101005503,55.03,Census Tract,G5020,S,18875446,87612,+32.3507642,-086.0979528,1146,140,01101005503,01101005503,Census Tract 55.03,55.03,PLST,AL,000,01,1583,6176,5940,3747,1669,21,453,0,50,236,171,2345,2260,85,157,204176070.42041,80056.8244961654,POINT (925236.0373799307 1079353.789375089),Pike Road High School at Georgia Washington,696 Georgia Washington Rd.,Pike Road,205.95879606640628,1.6930232804917549,0.12797718074888234
01,101,005501,01101005501,55.01,Census Tract,G5020,S,50754979,1624681,+32.3942273,-086.0726688,1144,140,01101005501,01101005501,Census Tract 55.01,55.01,PLST,AL,000,01,1581,3426,3333,1356,1861,2,68,1,45,93,107,807,747,60,158,563983689.253906,126784.271742397,POINT (927425.6776476497 1084054.5224206778),Pike Road High School at Georgia Washington,696 Georgia Washington Rd.,Pike Road,5118.664640281572,4.106651129073276,3.1805986555243595
01,101,005504,01101005504,55.04,Census Tract,G5020,S,32302848,458854,+32.3418353,-086.0154438,1147,140,01101005504,01101005504,Census Tract 55.04,55.04,PLST,AL,000,01,1584,1829,1771,1562,181,1,19,0,8,58,51,664,634,30,159,352765539.350952,100568.737395996,POINT (933272.1097312254 1079098.3069713134),Woodland United Methodist Church,4428 Wallahatchie Rd.,Pike Road,4777.886269603088,6.686155636159234,2.9688482667448075
01,101,005502,01101005502,55.02,Census Tract,G5020,S,16232846,325060,+32.3359903,-086.0489059,1145,140,01101005502,01101005502,Census Tract 55.02,55.02,PLST,AL,000,01,1582,3195,3031,1091,1669,2,235,1,33,164,96,1188,1110,78,160,178285212.502808,69963.9868657735,POINT (930053.3678731973 1078126.0567939377),Woodland United Methodist Church,4428 Wallahatchie Rd.,Pike Road,3076.25422572516,4.769543261499579,1.911500506869375
01,101,005612,01101005612,56.12,Census Tract,G5020,S,10036863,22425,+32.3160856,-086.1596360,1156,140,01101005612,01101005612,Census Tract 56.12,56.12,PLST,AL,000,01,1593,2131,2001,768,882,0,304,0,47,130,79,774,749,25,161,108305194.670288,49677.1311895975,POINT (920578.4918684592 1074214.3387603154),St. James United Methodist Church,9045 Vaughn Rd.,Montgomery,4429.351071240294,3.570456591879164,2.752277996719335
01,101,005610,01101005610,56.10,Census Tract,G5020,S,28689730,324351,+32.2831695,-086.2293019,1154,140,01101005610,01101005610,Census Tract 56.10,56.10,PLST,AL,000,01,1591,1400,1326,330,746,13,11,3,223,74,316,587,541,46,162,312372791.770142,172904.549409072,POINT (914146.9146223998 1070492.5658299257),Essence Studio & Events Center (temp. location),5085 Virginia Loop Rd.,Montgomery,1705.722332812497,3.924860446524523,1.0598893539043936
01,101,002201,01101002201,22.01,Census Tract,G5020,S,3121071,0,+32.3356125,-086.3078025,1115,140,01101002201,01101002201,Census Tract 22.01,22.01,PLST,AL,000,01,1552,3754,3687,83,3511,6,0,0,87,67,111,1887,1545,342,429,33600787.1882324,23343.8710719328,POINT (906090.5956606632 1075430.9121455865),Beulah Baptist Church,3703 Rosa L. Parks Ave.,Montgomery,802.6283749175119,1.7547052313077187,0.49873138983528154
01,101,002202,01101002202,22.02,Census Tract,G5020,S,2891661,81899,+32.3151157,-086.3030980,1116,140,01101002202,01101002202,Census Tract 22.02,22.02,PLST,AL,000,01,1553,884,868,6,859,0,0,0,3,16,6,456,373,83,430,32012697.4954834,24010.0058637889,POINT (906504.358648166 1073466.076387833),AFED Conference Center,150 E. Fleming Rd.,Montgomery,587.6070770375147,1.4486966460194775,0.3651230175335944
